calender_id,listing_id,date,available,price,adjusted_price,minimum_nights,maximum_nights
117922,39664757,2022-01-13 00:00:00.000000,1,58,58,2,5
117923,51171172,2022-01-22 00:00:00.000000,1,99,99,1,1125
117924,46792325,2022-02-12 00:00:00.000000,1,115,115,1,999
117925,52860177,2022-09-26 00:00:00.000000,0,90,90,2,1125
117926,33599745,2022-07-31 00:00:00.000000,0,68,68,3,1125
117927,34621717,2022-08-23 00:00:00.000000,0,75,75,2,1125
117928,26672728,2022-10-20 00:00:00.000000,0,60,60,8,1125
117929,345959,2022-01-02 00:00:00.000000,0,60,60,3,90
117930,53442538,2022-11-13 00:00:00.000000,1,69,69,1,1125
117931,5789730,2022-06-26 00:00:00.000000,1,79,79,7,1125
117932,45058659,2022-08-27 00:00:00.000000,0,108,108,2,1125
117933,35328212,2022-05-17 00:00:00.000000,0,33,33,30,365
117934,28249176,2022-12-09 00:00:00.000000,0,55,55,1,1125
117935,40794159,2022-01-07 00:00:00.000000,0,79,79,1,13
117936,51421663,2022-05-18 00:00:00.000000,0,150,150,2,1125
117937,48131144,2022-07-10 00:00:00.000000,0,14,14,1,1
117938,49264772,2022-12-01 00:00:00.000000,1,59,59,3,1125
117939,50530957,2022-12-21 00:00:00.000000,0,59,59,2,365
117940,2682808,2022-07-09 00:00:00.000000,1,34,34,2,1125
117941,30451449,2022-01-04 00:00:00.000000,0,180,180,2,1125
117942,53913084,2022-06-29 00:00:00.000000,1,275,275,2,28
117943,53476242,2022-10-14 00:00:00.000000,1,59,59,1,1125
117944,43877093,2022-06-14 00:00:00.000000,1,115,115,1,1125
117945,224682,2022-04-11 00:00:00.000000,1,85,85,2,30
117946,46792325,2022-07-25 00:00:00.000000,0,160,155,1,999
117947,12312880,2022-11-05 00:00:00.000000,0,57,57,2,1125
117948,53476242,2022-01-08 00:00:00.000000,1,61,61,1,1125
117949,46811435,2022-08-27 00:00:00.000000,0,24,24,30,1125
117950,25515794,2022-08-21 00:00:00.000000,0,96,96,1,1125
117951,36422080,2022-03-27 00:00:00.000000,0,39,39,1,1125
117952,51215329,2022-11-06 00:00:00.000000,0,85,85,30,1125
117953,37289326,2022-12-01 00:00:00.000000,1,59,59,14,1125
117954,9809677,2022-01-27 00:00:00.000000,0,38,38,1,1125
117955,51811969,2022-11-13 00:00:00.000000,1,90,90,1,1125
117956,50437912,2022-11-03 00:00:00.000000,0,25,25,3,1125
117957,14527835,2022-03-22 00:00:00.000000,1,60,60,2,1125
117958,26937582,2022-03-01 00:00:00.000000,0,100,100,2,1125
117959,32371479,2022-03-12 00:00:00.000000,1,89,89,14,1125
